street,lat1,lng1,lat2,lng2
Galileo Galilei Way,42.3661146,-71.0887658,42.3661738,-71.0886646
Clement Circle,42.381284,-71.131401,42.38136,-71.131381
Brattle Street,42.373386,-71.119778,42.3733693,-71.1199009
Windsor Street,42.3631323,-71.0967167,42.3632016,-71.0967089
Bay State Road,42.387207,-71.140324,42.387287,-71.139878
Sparks Street,42.38151,-71.13217,42.381288,-71.132028
Dr. Paul Dudley White Path,42.3704375,-71.1309046,42.3704851,-71.1309278
Rindge Avenue,42.393861,-71.138131,42.3938493,-71.1379972
Gilmore Street,42.364372,-71.111527,42.364686,-71.11157
Chestnut Street,42.3566298,-71.108803,42.3558964,-71.1075154
Beech Path,42.3869635,-71.1477106,42.3868981,-71.147614
Gold Star Road,42.399322,-71.130266,42.3996092,-71.130004
Fresh Pond Paths,42.3848405,-71.1417191,42.3850244,-71.1416518
Frontage Road,42.396202,-71.100448,42.396431,-71.101084
Dr. Paul Dudley White Path,42.3650627,-71.1451145,42.365009,-71.1451968
Gateway Park,42.4006757,-71.0719747,42.4005885,-71.0720283
Cambridge Street,42.371743,-71.085532,42.371642,-71.08479
Harvard Street,42.3723392,-71.1153142,42.3723364,-71.1152374
Merrill Avenue,42.3918596,-71.1584686,42.391759,-71.157812
Massachusetts Avenue,42.382629,-71.119703,42.382222,-71.119739
Willow Street,42.370062,-71.093267,42.37,-71.093395
Concord Avenue,42.384114,-71.134692,42.38384,-71.134087
Edward Street,42.400929,-71.103071,42.400818,-71.10299
US 1,42.3712995,-71.0696185,42.3714183,-71.0696478
Sidney Street,42.355155,-71.108251,42.354957,-71.108334
Brattle Street,42.3732615,-71.1205017,42.373186,-71.120779
Seventh Street,42.371046,-71.085704,42.370374,-71.085856
Western Avenue,42.3620981,-71.1425111,42.3621483,-71.1422399
Fayette Street,42.3738099,-71.1021266,42.3738987,-71.102099
Mount Auburn Street,42.3747906,-71.1321011,42.3747554,-71.1315691
Magazine Street,42.3581616,-71.1121258,42.3583899,-71.1118769
I 93,42.392705,-71.0849003,42.3925649,-71.0847581
Larchwood Drive,42.378591,-71.146032,42.378591,-71.145971
Wadsworth Street,42.3607829,-71.0841677,42.3610352,-71.0843217
Glenn Road,42.388929,-71.159518,42.388932,-71.159509
Dr. Paul Dudley White Path,42.3523496,-71.0877325,42.3523794,-71.0874446
Dr. Paul Dudley White Path,42.3708208,-71.1329961,42.3707778,-71.1330015
South Street,42.3751703,-71.0926111,42.3751479,-71.0925262
Brattle Street,42.37574,-71.12392,42.375965,-71.124492
Concord Avenue,42.388528,-71.1431353,42.3885763,-71.1431646
SR 2,42.3536425,-71.1106092,42.3535791,-71.1105577
Irving Street,42.37987,-71.111374,42.379616,-71.111242
Elm Street,42.37214,-71.095865,42.372593,-71.095596
Main Street,42.3631485,-71.0959717,42.3631212,-71.0955929
Garden Street,42.383233,-71.128024,42.383244,-71.128041
Land Boulevard,42.3615749,-71.0789548,42.3614807,-71.0789766
Fresh Pond Paths,42.3848865,-71.141276,42.3848443,-71.1412519
