start_lat,start_lng,end_lat,end_lng,name,station,opacity
42.376494,-71.129256,42.3759295,-71.1295113,Foster Pl,harvard,0.01
42.3719945,-71.1195003,42.3733436,-71.1185736,Dunster St,harvard,0.01
42.3776284,-71.1231464,42.3751387,-71.119148,Garden St,harvard,0.01
42.3747603,-71.1088503,42.3755062,-71.1149625,Cambridge St,harvard,0.01
42.3958057,-71.1307921,42.3965925,-71.1292664,Dudley St,davis,0.01
42.3696609,-71.089878,42.3663022,-71.0917948,Cardinal Medeiros Ave,kendall,0.05
42.3746985,-71.1381565,42.3746395,-71.137959,Gerrys Landing Rd,harvard,0.4
42.3742524,-71.1285137,42.3733898,-71.1267441,Memorial Dr,harvard,0.01
42.3739877,-71.107427,42.3708078,-71.1096223,Dana St,harvard,0.01
42.3697255,-71.1220493,42.3697927,-71.1224694,Memorial Dr,harvard,0.01
42.384667,-71.1310166,42.3851913,-71.1317254,Garden St,porter,0.01
42.3997948,-71.1389071,42.3989641,-71.1409284,Alewife Brook Pkwy,alewife,0.01
42.3768895,-71.108307,42.3778979,-71.1081355,Roberts Rd,harvard,0.02
42.3838691,-71.116089,42.3862003,-71.1161706,Oxford St,porter,0.01
42.3884182,-71.1223886,42.3879688,-71.12136,Richdale Ave,porter,0.01
42.3553503,-71.0987915,42.3559625,-71.099165,Fowler St,central,0.01
42.3972296,-71.1278936,42.3969717,-71.1276092,Locke St,davis,0.01
42.3660398,-71.0888442,42.3642128,-71.0894887,Galileo Galilei Way,kendall,0.01
42.3810162,-71.1291272,42.3811381,-71.1288732,Buckingham St,porter,0.01
42.3942259,-71.1308323,42.3947592,-71.130839,Cedar St,davis,0.01
42.3626242,-71.0841828,42.3624328,-71.0843303,Main St,kendall,3.44
42.3853021,-71.1275077,42.3850699,-71.1280073,Newell Terrace,porter,0.01
42.3887018,-71.1434947,42.388708,-71.1434358,Alewife Brook Pkwy,alewife,0.01
42.3575129,-71.1035608,42.357683,-71.1036988,Waverly St,central,0.01
42.3905476,-71.1540004,42.3905854,-71.1539946,Spinelli Pl,alewife,0.01
42.381712,-71.1195745,42.3817369,-71.1196856,Wendell St,porter,0.01
42.3757412,-71.1239192,42.3732049,-71.1207696,Brattle St,harvard,0.01
42.3658706,-71.088999,42.3642128,-71.0894887,Galileo Galilei Way,kendall,0.01
42.3693379,-71.0965355,42.3669946,-71.0978463,Columbia St,central,0.02
42.3664882,-71.0935226,42.3663589,-71.0935048,Market St,kendall,0.01
42.3760231,-71.1176167,42.3763571,-71.1190747,Cambridge St,harvard,0.01
42.3923828,-71.1216514,42.391013,-71.1199443,Orchard St,porter,0.01
42.3621967,-71.1137491,42.3655671,-71.103985,River St,central,0.01
42.3708593,-71.078596,42.3710199,-71.0798451,Cambridge St,kendall,0.01
42.3566472,-71.1019732,42.3581066,-71.0990139,Vassar St,central,0.01
42.375168,-71.139,42.3748265,-71.1380229,Fresh Pond Pkwy,harvard,0.01
42.371927,-71.0813208,42.3678279,-71.0822874,Sciarappa St,kendall,0.03
42.3809723,-71.1285597,42.3811381,-71.1288732,Concord Ave,porter,0.01
42.396974,-71.1411665,42.395041,-71.140628,Alewife Brook Pkwy,alewife,0.01
42.3834181,-71.1424314,42.3849777,-71.1414246,Fresh Pond Pkwy,alewife,0.01
42.365116,-71.0775389,42.3657326,-71.082371,Binney St,kendall,0.01
42.3874668,-71.1383615,42.3871278,-71.1410186,Bay State Rd,alewife,0.01
42.393397,-71.1351501,42.3936191,-71.1351878,Jefferson Park,alewife,0.01
42.3913751,-71.1304057,42.3912262,-71.1291888,Van Norden St,davis,0.01
42.3825981,-71.1195716,42.3886815,-71.1194648,Massachusetts Ave,porter,0.05
42.3782527,-71.1102888,42.377781,-71.1100418,Kirkland St,harvard,0.03
42.3886654,-71.1273766,42.3883365,-71.1254495,Hubbard Ave,porter,0.01
42.3704936,-71.0988351,42.3709136,-71.0999136,Gardner Rd,central,0.01
42.3782378,-71.1106622,42.3781373,-71.1107186,Scott St,harvard,0.01
42.3978308,-71.1412688,42.3970855,-71.1403405,Alewife Station Access Rd,alewife,0.01
42.3708609,-71.1098215,42.3708078,-71.1096223,Harvard St,central,0.01
42.3696562,-71.1040895,42.3694062,-71.1033812,West St,central,0.01
42.3586298,-71.1066986,42.3639944,-71.1013648,Brookline St,central,0.02
42.3873565,-71.1421144,42.3874046,-71.1420627,Concord Ave,alewife,0.23
42.3693611,-71.0717983,42.3687726,-71.0723393,Museum Way,kendall,0.67
42.3905391,-71.1194367,42.3899065,-71.1204682,Allen St,porter,0.01
42.3644821,-71.0945668,42.3637618,-71.0917719,Washington St,kendall,0.01
42.3562856,-71.1142161,42.3653108,-71.1042956,Magazine St,central,0.46
42.3700986,-71.1037859,42.3699609,-71.1038849,West Pl,central,0.01
42.3736745,-71.1005265,42.3735386,-71.1006017,Springfield St,central,0.02
42.380933,-71.142465,42.3804793,-71.1423123,Grozier Rd,alewife,0.01
42.3710505,-71.1342228,42.3710762,-71.1345502,Eliot Bridge,harvard,0.01
42.3942689,-71.1546498,42.3940425,-71.156213,Normandy Ave,alewife,0.04
42.3611241,-71.0965498,42.3654837,-71.103841,Massachusetts Ave,central,0.01
42.3567075,-71.0947382,42.358095,-71.090592,Memorial Dr,kendall,0.01
42.3818525,-71.1348275,42.3815317,-71.1343746,Vassal Ln,porter,0.01
42.373393,-71.100431,42.3722128,-71.0989926,Hampshire St,central,0.01
42.3873151,-71.1388904,42.3874465,-71.1388398,Birch St,alewife,0.01
42.3696891,-71.0932942,42.3696489,-71.0944499,Seckel St,central,0.04
42.3638247,-71.087458,42.3630722,-71.0880426,Ames St,kendall,0.01
42.368751,-71.1348861,42.370195,-71.1343636,Greenough Blvd,harvard,0.01
42.3750561,-71.1364319,42.372885,-71.1213966,Mt Auburn St,harvard,0.06
