start_lat,start_lng,end_lat,end_lng,name,station,opacity
42.36548,-71.10384,42.36535,-71.10361,Massachusetts Ave,central,5.78
42.36535,-71.10361,42.36526,-71.10346,Massachusetts Ave,central,5.78
42.36526,-71.10346,42.36514,-71.10326,Massachusetts Ave,central,5.78
42.36514,-71.10326,42.36508,-71.10317,Massachusetts Ave,central,5.78
42.36508,-71.10317,42.36478,-71.10268,Massachusetts Ave,central,4.58
42.36478,-71.10268,42.3647,-71.10255,Massachusetts Ave,central,4.57
42.3647,-71.10255,42.36462,-71.10242,Massachusetts Ave,central,4.13
42.36462,-71.10242,42.36443,-71.10209,Massachusetts Ave,central,4.12
42.36443,-71.10209,42.36456,-71.10193,Norfolk St,central,0.47
42.36456,-71.10193,42.36468,-71.1018,Norfolk St,central,0.47
42.36468,-71.1018,42.36475,-71.10173,Norfolk St,central,0.47
42.36475,-71.10173,42.36485,-71.10164,Norfolk St,central,0.47
42.36485,-71.10164,42.36517,-71.10131,Norfolk St,central,0.46
42.36517,-71.10131,42.36523,-71.10129,Norfolk St,central,0.45
42.36523,-71.10129,42.366,-71.10075,Norfolk St,central,0.44
42.366,-71.10075,42.36576,-71.09997,Washington St,central,0.01
42.39574,-71.14087,42.39587,-71.14088,Alewife Linear Path,alewife,4.74
42.39587,-71.14088,42.39613,-71.1409,Alewife Linear Path,alewife,4.74
42.39613,-71.1409,42.39611,-71.14074,Alewife Linear Path,alewife,1.83
42.39611,-71.14074,42.3961,-71.14065,Alewife Linear Path,alewife,1.83
42.3961,-71.14065,42.39608,-71.14046,Alewife Linear Path,alewife,1.83
42.39608,-71.14046,42.39608,-71.14041,Alewife Linear Path,alewife,1.75
42.39608,-71.14041,42.39607,-71.14037,Alewife Linear Path,alewife,1.75
42.39607,-71.14037,42.39606,-71.14034,Alewife Linear Path,alewife,1.75
42.39606,-71.14034,42.39605,-71.14032,Alewife Linear Path,alewife,1.75
42.39605,-71.14032,42.39604,-71.14029,Alewife Linear Path,alewife,1.75
42.39604,-71.14029,42.39604,-71.14023,Alewife Linear Path,alewife,1.75
42.39604,-71.14023,42.39604,-71.14018,Alewife Linear Path,alewife,1.75
42.39604,-71.14018,42.39604,-71.14014,Alewife Linear Path,alewife,1.75
42.39604,-71.14014,42.39604,-71.14011,Alewife Linear Path,alewife,1.75
42.39604,-71.14011,42.39603,-71.14008,Alewife Linear Path,alewife,1.75
42.39603,-71.14008,42.39603,-71.14006,Alewife Linear Path,alewife,1.75
42.39603,-71.14006,42.39602,-71.14005,Alewife Linear Path,alewife,1.75
42.39602,-71.14005,42.39601,-71.14002,Alewife Linear Path,alewife,1.75
42.39601,-71.14002,42.396,-71.13999,Alewife Linear Path,alewife,1.75
42.396,-71.13999,42.39599,-71.13996,Alewife Linear Path,alewife,1.75
42.39599,-71.13996,42.39598,-71.13992,Alewife Linear Path,alewife,1.75
42.39598,-71.13992,42.39597,-71.13987,Alewife Linear Path,alewife,1.75
42.39597,-71.13987,42.39596,-71.13943,Alewife Linear Path,alewife,1.75
42.39596,-71.13943,42.39597,-71.13935,Alewife Linear Path,alewife,1.75
42.39597,-71.13935,42.39597,-71.13929,Alewife Linear Path,alewife,1.75
42.39597,-71.13929,42.39597,-71.13924,Alewife Linear Path,alewife,1.75
42.39597,-71.13924,42.39596,-71.13921,Alewife Linear Path,alewife,1.75
42.39596,-71.13921,42.39595,-71.13916,Alewife Linear Path,alewife,1.75
42.39595,-71.13916,42.3959,-71.13901,Alewife Linear Path,alewife,1.75
42.3959,-71.13901,42.39582,-71.13878,Alewife Linear Path,alewife,1.75
42.39582,-71.13878,42.39572,-71.13849,Alewife Linear Path,alewife,1.75
42.39572,-71.13849,42.39567,-71.13838,Alewife Linear Path,alewife,1.75
42.39567,-71.13838,42.39562,-71.13832,Somerville Community Path,alewife,1.01
42.39562,-71.13832,42.39556,-71.13824,Somerville Community Path,alewife,1.01
42.39556,-71.13824,42.39549,-71.13815,Somerville Community Path,alewife,1.01
42.39549,-71.13815,42.39544,-71.1381,Somerville Community Path,alewife,1.01
42.39544,-71.1381,42.39537,-71.13804,Somerville Community Path,alewife,1.01
42.39537,-71.13804,42.39531,-71.13799,Somerville Community Path,alewife,1.01
42.39531,-71.13799,42.39525,-71.13796,Somerville Community Path,alewife,1.01
42.39525,-71.13796,42.39519,-71.13793,Somerville Community Path,alewife,1.01
42.39519,-71.13793,42.39511,-71.13791,Somerville Community Path,alewife,1.01
42.39511,-71.13791,42.39503,-71.13789,Somerville Community Path,alewife,1.01
42.39503,-71.13789,42.39497,-71.13788,Somerville Community Path,alewife,1.01
42.39497,-71.13788,42.39487,-71.13788,Somerville Community Path,alewife,1.01
42.39487,-71.13788,42.3946,-71.1379,Somerville Community Path,alewife,1.01
42.3946,-71.1379,42.39457,-71.13785,Somerville Community Path,alewife,1.01
42.39457,-71.13785,42.39456,-71.13781,Somerville Community Path,alewife,1.01
42.39456,-71.13781,42.39453,-71.13772,Somerville Community Path,alewife,1.01
42.39453,-71.13772,42.39449,-71.13753,Somerville Community Path,alewife,1.01
42.39449,-71.13753,42.39446,-71.13742,Somerville Community Path,alewife,1.01
42.39446,-71.13742,42.39445,-71.13739,Somerville Community Path,alewife,1.01
42.39445,-71.13739,42.39442,-71.13732,Somerville Community Path,alewife,1.01
42.39442,-71.13732,42.39439,-71.13725,Somerville Community Path,alewife,1.01
42.39439,-71.13725,42.39434,-71.1372,Somerville Community Path,alewife,1.0
42.39434,-71.1372,42.39429,-71.13716,Somerville Community Path,alewife,1.0
42.39429,-71.13716,42.39425,-71.13713,Somerville Community Path,alewife,1.0
42.39425,-71.13713,42.3942,-71.13711,Somerville Community Path,alewife,1.0
42.3942,-71.13711,42.39412,-71.1371,Somerville Community Path,alewife,1.0
42.39412,-71.1371,42.39396,-71.13709,Somerville Community Path,alewife,1.0
42.39396,-71.13709,42.39377,-71.13711,Somerville Community Path,alewife,1.0
42.39377,-71.13711,42.39376,-71.137,Rindge Ave,alewife,0.99
42.39376,-71.137,42.39375,-71.1369,Rindge Ave,alewife,0.98
42.39375,-71.1369,42.39369,-71.13622,Rindge Ave,alewife,0.98
42.39369,-71.13622,42.39365,-71.13558,Rindge Ave,alewife,0.95
42.39365,-71.13558,42.39363,-71.13534,Rindge Ave,alewife,0.95
42.39363,-71.13534,42.39362,-71.13519,Rindge Ave,alewife,0.95
42.39362,-71.13519,42.3936,-71.13479,Rindge Ave,alewife,0.4
42.3936,-71.13479,42.39357,-71.13425,Rindge Ave,alewife,0.4
42.39357,-71.13425,42.39357,-71.13415,Rindge Ave,alewife,0.4
42.39357,-71.13415,42.39356,-71.13396,Rindge Ave,alewife,0.39
42.39356,-71.13396,42.39355,-71.13368,Rindge Ave,alewife,0.38
42.39355,-71.13368,42.39354,-71.13355,Rindge Ave,alewife,0.38
42.39354,-71.13355,42.39352,-71.13329,Rindge Ave,alewife,0.38
42.39352,-71.13329,42.39351,-71.13318,Rindge Ave,alewife,0.38
42.39351,-71.13318,42.39351,-71.13311,Rindge Ave,alewife,0.38
42.39351,-71.13311,42.39349,-71.13285,Rindge Ave,alewife,0.35
42.36247,-71.08632,42.36253,-71.08712,Main St,kendall,3.99
42.36253,-71.08712,42.36293,-71.08706,Ames St,kendall,2.47
42.36293,-71.08706,42.36294,-71.08706,Ames St,kendall,2.47
42.36294,-71.08706,42.36294,-71.08707,Ames St,kendall,2.47
42.36294,-71.08707,42.36302,-71.0878,Ames St,kendall,2.47
42.36302,-71.0878,42.36304,-71.08789,Ames St,kendall,2.47
42.36304,-71.08789,42.36305,-71.08794,Ames St,kendall,2.47
42.36305,-71.08794,42.36307,-71.08804,Ames St,kendall,2.47
42.36307,-71.08804,42.36312,-71.08802,Ames St,kendall,2.46
42.36312,-71.08802,42.36321,-71.08795,Ames St,kendall,2.44
42.36321,-71.08795,42.3635,-71.08772,Ames St,kendall,2.44
42.3635,-71.08772,42.36358,-71.08765,Ames St,kendall,2.43
42.36358,-71.08765,42.3639,-71.0874,Ames St,kendall,2.42
42.3639,-71.0874,42.36391,-71.08739,Ames St,kendall,2.42
42.36391,-71.08739,42.36396,-71.0875,Broadway,kendall,1.12
42.36396,-71.0875,42.36402,-71.08764,Broadway,kendall,1.11
42.36402,-71.08764,42.36411,-71.08787,Broadway,kendall,1.11
42.36411,-71.08787,42.36421,-71.08809,Broadway,kendall,1.11
42.36421,-71.08809,42.36427,-71.08823,Broadway,kendall,1.11
42.36427,-71.08823,42.36432,-71.08835,Broadway,kendall,1.11
42.36432,-71.08835,42.36442,-71.0886,Broadway,kendall,1.11
42.36442,-71.0886,42.36472,-71.08934,Broadway,kendall,1.09
42.36472,-71.08934,42.36478,-71.08949,Broadway,kendall,1.09
42.36478,-71.08949,42.36489,-71.08965,Broadway,kendall,1.09
42.36489,-71.08965,42.36492,-71.08972,Broadway,kendall,1.08
42.36492,-71.08972,42.365,-71.08994,Broadway,kendall,1.07
42.365,-71.08994,42.36506,-71.0901,Broadway,kendall,1.07
42.36506,-71.0901,42.36511,-71.09024,Broadway,kendall,1.07
42.36511,-71.09024,42.36543,-71.09113,Broadway,kendall,1.06
42.39574,-71.14087,42.39557,-71.14085,Alewife Brook Pkwy,alewife,8.25
42.39557,-71.14085,42.3954,-71.14083,Alewife Brook Pkwy,alewife,8.25
42.3954,-71.14083,42.3952,-71.14078,Alewife Brook Pkwy,alewife,8.25
42.3952,-71.14078,42.3951,-71.14077,Alewife Brook Pkwy,alewife,8.25
