start_lat,start_lng,end_lat,end_lng,name,generation,station
start_lat,start_lng,end_lat,end_lng,name,generation,harvard
42.37338,-71.11862,42.37334,-71.11857,Massachusetts Ave,0,harvard
42.37334,-71.11857,42.37329,-71.1185,Massachusetts Ave,0,harvard
42.37329,-71.1185,42.37327,-71.11846,Massachusetts Ave,0,harvard
42.37327,-71.11846,42.37323,-71.11834,Massachusetts Ave,0,harvard
42.37323,-71.11834,42.37311,-71.1179,Massachusetts Ave,0,harvard
42.37311,-71.1179,42.37306,-71.11772,Massachusetts Ave,0,harvard
42.37306,-71.11772,42.37289,-71.11713,Massachusetts Ave,0,harvard
42.37289,-71.11713,42.37278,-71.11673,Massachusetts Ave,0,harvard
42.37278,-71.11673,42.3727,-71.11642,Massachusetts Ave,0,harvard
42.3727,-71.11642,42.37267,-71.11633,Massachusetts Ave,0,harvard
42.37267,-71.11633,42.37265,-71.11627,Massachusetts Ave,0,harvard
42.37265,-71.11627,42.3726,-71.11614,Massachusetts Ave,0,harvard
42.3726,-71.11614,42.37249,-71.11595,Massachusetts Ave,0,harvard
42.37249,-71.11595,42.37249,-71.11586,Harvard St,1,harvard
42.37249,-71.11586,42.37242,-71.1156,Harvard St,1,harvard
42.37242,-71.1156,42.37234,-71.11532,Harvard St,1,harvard
42.37234,-71.11532,42.37232,-71.11524,Harvard St,1,harvard
42.37232,-71.11524,42.3723,-71.11515,Harvard St,1,harvard
42.3723,-71.11515,42.37228,-71.11508,Harvard St,1,harvard
42.37228,-71.11508,42.37205,-71.11424,Harvard St,1,harvard
42.37205,-71.11424,42.37203,-71.11417,Harvard St,1,harvard
42.37203,-71.11417,42.37184,-71.11343,Harvard St,1,harvard
42.37184,-71.11343,42.37173,-71.11309,Harvard St,1,harvard
42.37173,-71.11309,42.37167,-71.11284,Harvard St,1,harvard
42.37167,-71.11284,42.37145,-71.11201,Harvard St,1,harvard
42.37145,-71.11201,42.37112,-71.11081,Harvard St,1,harvard
42.37112,-71.11081,42.37081,-71.10962,Harvard St,1,harvard
42.37081,-71.10962,42.37003,-71.10687,Harvard St,1,harvard
42.37003,-71.10687,42.36993,-71.10651,Harvard St,1,harvard
42.36993,-71.10651,42.36975,-71.10586,Harvard St,1,harvard
42.36975,-71.10586,42.3696,-71.10545,Harvard St,1,harvard
42.3696,-71.10545,42.36946,-71.10504,Harvard St,1,harvard
42.36946,-71.10504,42.36917,-71.10424,Harvard St,1,harvard
42.36917,-71.10424,42.36898,-71.10368,Harvard St,1,harvard
42.36898,-71.10368,42.36862,-71.10269,Harvard St,1,harvard
42.36862,-71.10269,42.3683,-71.10174,Harvard St,1,harvard
42.3683,-71.10174,42.36811,-71.10122,Harvard St,1,harvard
42.36811,-71.10122,42.36797,-71.10082,Harvard St,1,harvard
42.36797,-71.10082,42.36786,-71.1005,Harvard St,1,harvard
42.36786,-71.1005,42.3678,-71.10036,Harvard St,1,harvard
42.3678,-71.10036,42.36756,-71.09966,Harvard St,1,harvard
42.36756,-71.09966,42.36694,-71.10008,Norfolk St,2,harvard
42.36694,-71.10008,42.36687,-71.10014,Norfolk St,2,harvard
