lat1,lng1,lat2,lng2,name
42.377027,-71.1493,42.377116,-71.149325,Holworthy Pl
42.389924,-71.130701,42.389916,-71.130682,Bolton St
42.359044,-71.112964,42.359099,-71.113055,Chestnut St
42.397735,-71.142018,42.397718,-71.14213,Concord Tpk
42.367259,-71.091231,42.367642,-71.091012,Cardinal Medeiros Ave
42.356361,-71.097953,42.356362,-71.097945,Amherst Aly
42.365047,-71.106042,42.365143,-71.106206,Franklin St
42.376811,-71.154217,42.376836,-71.154252,Corcoran Ln
42.372699,-71.082839,42.372396,-71.082913,Fifth St
42.378883,-71.146477,42.378829,-71.146678,Huron Ave
42.373212,-71.102667,42.373729,-71.102225,Fayette St
42.377449,-71.144902,42.377546,-71.144982,Meadow Way
42.375716,-71.130451,42.376049,-71.130407,Sparks St
42.372914,-71.123247,42.372835,-71.123312,University Rd
42.361967,-71.096872,42.362425,-71.096809,Windsor St
42.357038,-71.109505,42.357089,-71.109593,Chestnut St
42.376819,-71.131274,42.376824,-71.131476,Hubbard Park Rd
42.374084,-71.112698,42.374415,-71.112462,Felton St
42.375131,-71.124782,42.375094,-71.124651,Ash Street Pl
42.363258,-71.078368,42.363173,-71.078359,Land Blvd
42.354833,-71.102575,42.354833,-71.102571,Amherst Aly
42.372087,-71.085453,42.372077,-71.085455,Seventh St
42.36719,-71.074075,42.367133,-71.074113,Cambridge Pkwy
42.380784,-71.118356,42.380753,-71.117754,Mellen St
42.371049,-71.085701,42.370925,-71.085731,Seventh St
42.401209,-71.130379,42.401445,-71.130091,Clarendon Ave
42.397897,-71.1309,42.397711,-71.130905,Cedar St
42.367846,-71.114707,42.367746,-71.114713,Banks St
42.376661,-71.105925,42.376666,-71.105907,Magnolia Ave
42.383579,-71.128616,42.383862,-71.129311,Garden St
42.361824,-71.1081,42.361771,-71.108156,Magazine St
42.370027,-71.116848,42.370221,-71.117636,Mill St
42.380771,-71.129758,42.380795,-71.129729,Buckingham St
42.381551,-71.140237,42.381578,-71.140099,Malcolm Rd
42.364749,-71.110774,42.364847,-71.110789,Howard St
42.38828,-71.125356,42.388337,-71.125432,Mt Pleasant St
42.385998,-71.133209,42.386047,-71.133349,Garden St
42.370711,-71.092877,42.371154,-71.092624,Willow St
42.377116,-71.149325,42.377104,-71.149396,Park Ave
42.377085,-71.129576,42.37701,-71.129624,Mercer Cir
42.378317,-71.146094,42.378366,-71.146102,Larchwood Dr
42.380156,-71.138459,42.380175,-71.138465,Gurney St
42.365218,-71.14169,42.365254,-71.141834,Greenough Blvd
42.396974,-71.140756,42.39706,-71.140399,Concord Tpk
42.355451,-71.098837,42.35562,-71.098936,Fowler St
42.377732,-71.126229,42.377732,-71.126171,St Johns Rd
42.379423,-71.129659,42.37936,-71.129842,Parker St
42.37618,-71.152731,42.376157,-71.152951,Thingvalla Ave
42.377713,-71.125522,42.377893,-71.125319,Hastings Ave
42.371135,-71.094492,42.371379,-71.094365,Lincoln Pl
42.369716,-71.092396,42.36974,-71.092473,York St
42.37723,-71.123952,42.37729,-71.124025,Berkeley St
42.373265,-71.094299,42.373274,-71.094284,Columbia St
42.366448,-71.100297,42.366483,-71.100415,Suffolk St
42.356007,-71.09901,42.35596,-71.09915,Amherst Aly
42.383393,-71.123808,42.383047,-71.124556,Linnaean St
42.366568,-71.093551,42.366583,-71.093569,Market St
42.372082,-71.114325,42.372305,-71.115147,Harvard St
42.37146,-71.134738,42.371393,-71.13473,Gerrys Landing Rd
42.377068,-71.1245,42.377327,-71.125505,St Johns Rd
42.378416,-71.146104,42.378474,-71.146098,Larchwood Dr
42.39065,-71.126585,42.390369,-71.12682,Pemberton St
42.35484,-71.102504,42.354833,-71.102526,Amherst Aly
42.377655,-71.123165,42.377732,-71.12323,Garden St
42.374916,-71.134085,42.374923,-71.134191,Mt Auburn St
42.385859,-71.135572,42.385904,-71.135726,Field St
42.397941,-71.153109,42.397941,-71.153109,Acorn Pk
42.364517,-71.084761,42.364402,-71.084788,Fifth St
42.397535,-71.136299,42.397541,-71.136374,Harvey St
42.393412,-71.128781,42.393288,-71.128285,St Gerard Ter
42.386567,-71.141022,42.386656,-71.141,Fresh Pond Pkwy
42.368011,-71.077538,42.367908,-71.077563,First St
42.370936,-71.107292,42.370964,-71.107374,Chatham St
42.365341,-71.115979,42.36569,-71.115947,Memorial Dr
42.400799,-71.153376,42.40083,-71.152968,Acorn Pk
42.385103,-71.132686,42.385002,-71.132798,Walden St
42.372426,-71.090792,42.372442,-71.090915,Cambridge St
42.379404,-71.144445,42.379559,-71.144481,Fresh Pond Pkwy
42.390355,-71.126836,42.390352,-71.12684,Pemberton St
42.375982,-71.128037,42.375915,-71.128067,Willard St
42.365623,-71.099704,42.365438,-71.099864,Fiske Pl
42.369766,-71.120904,42.369723,-71.121324,Memorial Dr
42.397842,-71.146738,42.397842,-71.146738,Acorn Pk
42.375603,-71.12014,42.375917,-71.120851,Garden St
42.360278,-71.097318,42.360521,-71.097703,Cross St
42.377754,-71.142148,42.377778,-71.142148,Larch Rd
42.370456,-71.108355,42.370758,-71.109444,Harvard St
42.379217,-71.108861,42.379166,-71.108935,Shady Hill Sq
42.390415,-71.157062,42.39053,-71.157076,Blanchard Rd
42.37961,-71.111248,42.379755,-71.111311,Irving St
42.377304,-71.143812,42.377304,-71.143912,Meadow Way
42.373139,-71.125514,42.373133,-71.125516,Brewer St
42.360531,-71.098589,42.360531,-71.098589,Purrington St
42.396635,-71.130882,42.39648,-71.130878,Cedar St
42.398908,-71.132183,42.39874,-71.132417,Edmunds St
42.361775,-71.113475,42.361702,-71.113463,Putnam Ave
42.370029,-71.09633,42.370214,-71.096556,Hampshire St
42.366371,-71.094463,42.366548,-71.094331,Clark St
42.368865,-71.106704,42.369672,-71.105934,Lee St
42.387129,-71.140672,42.387263,-71.139901,Bay State Rd
42.388619,-71.132614,42.388728,-71.132628,Sherman St
42.367328,-71.104004,42.367531,-71.103787,Austin Pk
42.372072,-71.093537,42.372155,-71.093507,Windsor St
42.379822,-71.116506,42.379926,-71.116498,Oxford St
42.382786,-71.142954,42.383233,-71.142569,Fresh Pond Pkwy
42.374585,-71.092973,42.3746,-71.092973,Windsor St
42.379343,-71.153688,42.379351,-71.153679,May St
42.3653,-71.111857,42.365302,-71.111889,Callender St
42.365034,-71.097086,42.36513,-71.097049,Cherry St
42.378571,-71.108407,42.378645,-71.108435,Holden St
42.37005,-71.10689,42.370071,-71.106854,Hancock St
42.360069,-71.083817,42.360087,-71.083808,Wadsworth St
42.37256,-71.091821,42.373619,-71.091571,Willow St
42.368328,-71.096092,42.368405,-71.096204,Market St
42.389895,-71.1306,42.389884,-71.130518,Bolton St
42.356629,-71.096878,42.356629,-71.096878,Amherst Aly
42.355082,-71.110329,42.355179,-71.110582,Granite St
42.365925,-71.091327,42.366182,-71.091643,Hampshire St
42.397523,-71.137916,42.397573,-71.137662,Harvey St
42.368571,-71.099131,42.368725,-71.099523,Broadway
42.371157,-71.097436,42.371469,-71.097247,Norfolk St
42.377863,-71.13623,42.377863,-71.136258,Channing Pl
