lat,lng
42.410277,-71.163794
42.4102769957,-71.1627983601
42.4102769914,-71.1618027201
42.4102769871,-71.1608070802
42.4102769828,-71.1598114402
42.4102769785,-71.1588158003
42.4102769742,-71.1578201603
42.4102769698,-71.1568245204
42.4102769655,-71.1558288805
42.4102769612,-71.1548332405
42.4102769569,-71.1538376006
42.4102769526,-71.1528419606
42.4102769483,-71.1518463207
42.410276944,-71.1508506807
42.4102769397,-71.1498550408
42.4102769354,-71.1488594009
42.4102769311,-71.1478637609
42.4102769268,-71.146868121
42.4102769225,-71.145872481
42.4102769182,-71.1448768411
42.4102769138,-71.1438812012
42.4102769095,-71.1428855612
42.4102769052,-71.1418899213
42.4102769009,-71.1408942813
42.4102768966,-71.1398986414
42.4102768923,-71.1389030014
42.410276888,-71.1379073615
42.4102768837,-71.1369117216
42.4102768794,-71.1359160816
42.4102768751,-71.1349204417
42.4102768708,-71.1339248017
42.4102768665,-71.1329291618
42.4102768622,-71.1319335219
42.4102768578,-71.1309378819
42.4102768535,-71.129942242
42.4102768492,-71.128946602
42.4102768449,-71.1279509621
42.4102768406,-71.1269553222
42.4102768363,-71.1259596822
42.410276832,-71.1249640423
42.4102768277,-71.1239684023
42.4102768234,-71.1229727624
42.4102768191,-71.1219771225
42.4102768148,-71.1209814825
42.4102768105,-71.1199858426
42.4102768062,-71.1189902026
42.4102768018,-71.1179945627
42.4102767975,-71.1169989228
42.4102767932,-71.1160032828
42.4102767889,-71.1150076429
42.4102767846,-71.1140120029
42.4102767803,-71.113016363
42.410276776,-71.1120207231
42.4102767717,-71.1110250831
42.4102767674,-71.1100294432
42.4102767631,-71.1090338032
42.4102767588,-71.1080381633
42.4102767545,-71.1070425234
42.4102767502,-71.1060468834
42.4102767458,-71.1050512435
42.4102767415,-71.1040556035
42.4102767372,-71.1030599636
42.4102767329,-71.1020643237
42.4102767286,-71.1010686837
42.4102767243,-71.1000730438
42.41027672,-71.0990774039
42.4102767157,-71.0980817639
42.4102767114,-71.097086124
42.4102767071,-71.096090484
42.4102767028,-71.0950948441
42.4102766985,-71.0940992042
42.4102766942,-71.0931035642
42.4102766898,-71.0921079243
42.4102766855,-71.0911122843
42.4102766812,-71.0901166444
