lat,lng
42.041134,-87.956743
42.0411339394,-87.9530076526
42.0411338789,-87.9492723053
42.0411338183,-87.9455369579
42.0411337578,-87.9418016106
42.0411336972,-87.9380662632
42.0411336367,-87.9343309159
42.0411335761,-87.9305955685
42.0411335156,-87.9268602212
42.041133455,-87.9231248739
42.0411333944,-87.9193895265
42.0411333339,-87.9156541792
42.0411332733,-87.9119188319
42.0411332128,-87.9081834846
42.0411331522,-87.9044481373
42.0411330917,-87.9007127899
42.0411330311,-87.8969774426
42.0411329705,-87.8932420953
42.04113291,-87.889506748
42.0411328494,-87.8857714007
42.0411327889,-87.8820360534
42.0411327283,-87.8783007061
42.0411326678,-87.8745653588
42.0411326072,-87.8708300116
42.0411325467,-87.8670946643
42.0411324861,-87.863359317
42.0411324255,-87.8596239697
42.041132365,-87.8558886225
42.0411323044,-87.8521532752
42.0411322439,-87.8484179279
42.0411321833,-87.8446825807
42.0411321228,-87.8409472334
42.0411320622,-87.8372118862
42.0411320016,-87.8334765389
42.0411319411,-87.8297411917
42.0411318805,-87.8260058444
42.04113182,-87.8222704972
42.0411317594,-87.81853515
42.0411316989,-87.8147998027
42.0411316383,-87.8110644555
42.0411315778,-87.8073291083
42.0411315172,-87.8035937611
42.0411314566,-87.7998584138
42.0411313961,-87.7961230666
42.0411313355,-87.7923877194
42.041131275,-87.7886523722
42.0411312144,-87.784917025
42.0411311539,-87.7811816778
42.0411310933,-87.7774463306
42.0411310327,-87.7737109834
42.0411309722,-87.7699756362
42.0411309116,-87.7662402891
42.0411308511,-87.7625049419
42.0411307905,-87.7587695947
42.04113073,-87.7550342475
42.0411306694,-87.7512989004
42.0411306089,-87.7475635532
42.0411305483,-87.743828206
42.0411304877,-87.7400928589
42.0411304272,-87.7363575117
42.0411303666,-87.7326221646
42.0411303061,-87.7288868174
42.0411302455,-87.7251514703
42.041130185,-87.7214161231
42.0411301244,-87.717680776
42.0411300638,-87.7139454288
42.0411300033,-87.7102100817
42.0411299427,-87.7064747346
42.0411298822,-87.7027393875
42.0411298216,-87.6990040403
42.0411297611,-87.6952686932
42.0411297005,-87.6915333461
42.04112964,-87.687797999
42.0411295794,-87.6840626519
42.0411295188,-87.6803273048
42.0411294583,-87.6765919577
42.0411293977,-87.6728566106
42.0411293372,-87.6691212635
42.0411292766,-87.6653859164
42.0411292161,-87.6616505693
42.0411291555,-87.6579152223
42.0411290949,-87.6541798752
42.0411290344,-87.6504445281
42.0411289738,-87.646709181
42.0411289133,-87.642973834
42.0411288527,-87.6392384869
42.0411287922,-87.6355031398
42.0411287316,-87.6317677928
42.0411286711,-87.6280324457
42.0411286105,-87.6242970987
42.0411285499,-87.6205617516
42.0411284894,-87.6168264046
42.0411284288,-87.6130910576
42.0411283683,-87.6093557105
42.0411283077,-87.6056203635
42.0411282472,-87.6018850165
42.0411281866,-87.5981496694
42.041128126,-87.5944143224
42.0411280655,-87.5906789754
42.0411280049,-87.5869436284
42.0411279444,-87.5832082814
42.0411278838,-87.5794729344
42.0411278233,-87.5757375874
42.0411277627,-87.5720022404
42.0411277022,-87.5682668934
42.0411276416,-87.5645315464
42.041127581,-87.5607961994
42.0411275205,-87.5570608524
42.0411274599,-87.5533255054
42.0411273994,-87.5495901585
42.0411273388,-87.5458548115
42.0411272783,-87.5421194645
42.0411272177,-87.5383841175
42.0411271571,-87.5346487706
42.0411270966,-87.5309134236
42.041127036,-87.5271780767
42.0411269755,-87.5234427297
42.0411269149,-87.5197073828
42.0411268544,-87.5159720358
42.0411267938,-87.5122366889
42.0411267333,-87.5085013419
42.0411266727,-87.504765995
42.0411266121,-87.5010306481
42.0411265516,-87.4972953011
42.041126491,-87.4935599542
42.037851656,-87.956743
42.0378515955,-87.9530078456
42.0378515349,-87.9492726912
42.0378514744,-87.9455375367
42.0378514138,-87.9418023823
42.0378513533,-87.9380672279
42.0378512927,-87.9343320735
42.0378512322,-87.9305969191
42.0378511716,-87.9268617647
42.0378511111,-87.9231266103
42.0378510505,-87.9193914559
42.03785099,-87.9156563015
42.0378509294,-87.9119211472
42.0378508689,-87.9081859928
42.0378508083,-87.9044508384
42.0378507478,-87.900715684
42.0378506872,-87.8969805297
42.0378506267,-87.8932453753
42.0378505661,-87.8895102209
42.0378505056,-87.8857750666
42.037850445,-87.8820399122
42.0378503845,-87.8783047579
42.0378503239,-87.8745696035
42.0378502634,-87.8708344492
42.0378502028,-87.8670992948
42.0378501423,-87.8633641405
42.0378500817,-87.8596289862
42.0378500212,-87.8558938318
42.0378499606,-87.8521586775
42.0378499001,-87.8484235232
42.0378498395,-87.8446883689
42.037849779,-87.8409532145
42.0378497184,-87.8372180602
42.0378496579,-87.8334829059
42.0378495973,-87.8297477516
42.0378495368,-87.8260125973
42.0378494762,-87.822277443
42.0378494157,-87.8185422887
42.0378493551,-87.8148071344
42.0378492946,-87.8110719801
42.037849234,-87.8073368259
42.0378491735,-87.8036016716
42.0378491129,-87.7998665173
42.0378490524,-87.796131363
42.0378489918,-87.7923962087
42.0378489313,-87.7886610545
42.0378488707,-87.7849259002
42.0378488102,-87.781190746
42.0378487496,-87.7774555917
42.0378486891,-87.7737204375
42.0378486285,-87.7699852832
42.037848568,-87.766250129
42.0378485074,-87.7625149747
42.0378484469,-87.7587798205
42.0378483863,-87.7550446662
42.0378483258,-87.751309512
42.0378482652,-87.7475743578
42.0378482047,-87.7438392036
42.0378481441,-87.7401040493
42.0378480836,-87.7363688951
42.037848023,-87.7326337409
42.0378479625,-87.7288985867
42.0378479019,-87.7251634325
42.0378478414,-87.7214282783
42.0378477808,-87.7176931241
42.0378477203,-87.7139579699
42.0378476597,-87.7102228157
42.0378475992,-87.7064876615
42.0378475387,-87.7027525073
42.0378474781,-87.6990173532
42.0378474176,-87.695282199
42.037847357,-87.6915470448
42.0378472965,-87.6878118906
42.0378472359,-87.6840767365
42.0378471754,-87.6803415823
42.0378471148,-87.6766064281
42.0378470543,-87.672871274
42.0378469937,-87.6691361198
42.0378469332,-87.6654009657
42.0378468726,-87.6616658115
42.0378468121,-87.6579306574
42.0378467515,-87.6541955033
42.037846691,-87.6504603491
42.0378466304,-87.646725195
42.0378465699,-87.6429900409
42.0378465093,-87.6392548867
42.0378464488,-87.6355197326
42.0378463882,-87.6317845785
42.0378463277,-87.6280494244
42.0378462671,-87.6243142703
42.0378462066,-87.6205791162
42.037846146,-87.6168439621
42.0378460855,-87.613108808
42.0378460249,-87.6093736539
42.0378459644,-87.6056384998
42.0378459038,-87.6019033457
42.0378458433,-87.5981681916
42.0378457827,-87.5944330375
42.0378457222,-87.5906978834
42.0378456616,-87.5869627294
42.0378456011,-87.5832275753
42.0378455405,-87.5794924212
42.03784548,-87.5757572672
42.0378454194,-87.5720221131
42.0378453589,-87.5682869591
42.0378452983,-87.564551805
42.0378452378,-87.560816651
42.0378451772,-87.5570814969
42.0378451167,-87.5533463429
42.0378450561,-87.5496111888
42.0378449956,-87.5458760348
42.037844935,-87.5421408808
42.0378448745,-87.5384057267
42.0378448139,-87.5346705727
42.0378447534,-87.5309354187
42.0378446928,-87.5272002647
42.0378446323,-87.5234651107
42.0378445717,-87.5197299566
42.0378445112,-87.5159948026
42.0378444506,-87.5122596486
42.0378443901,-87.5085244946
42.0378443295,-87.5047893406
42.037844269,-87.5010541866
42.0378442084,-87.4973190327
42.0378441479,-87.4935838787
42.034569312,-87.956743
42.0345692515,-87.9530080385
42.0345691909,-87.949273077
42.0345691304,-87.9455381155
42.0345690698,-87.941803154
42.0345690093,-87.9380681925
42.0345689487,-87.934333231
42.0345688882,-87.9305982695
42.0345688277,-87.926863308
42.0345687671,-87.9231283465
42.0345687066,-87.919393385
42.034568646,-87.9156584235
42.0345685855,-87.911923462
42.034568525,-87.9081885006
42.0345684644,-87.9044535391
42.0345684039,-87.9007185776
42.0345683433,-87.8969836162
42.0345682828,-87.8932486547
42.0345682222,-87.8895136933
42.0345681617,-87.8857787318
42.0345681012,-87.8820437704
42.0345680406,-87.8783088089
42.0345679801,-87.8745738475
42.0345679195,-87.870838886
42.034567859,-87.8671039246
42.0345677984,-87.8633689632
42.0345677379,-87.8596340017
42.0345676774,-87.8558990403
42.0345676168,-87.8521640789
42.0345675563,-87.8484291175
42.0345674957,-87.8446941561
42.0345674352,-87.8409591947
42.0345673746,-87.8372242333
42.0345673141,-87.8334892718
42.0345672536,-87.8297543105
42.034567193,-87.8260193491
42.0345671325,-87.8222843877
42.0345670719,-87.8185494263
42.0345670114,-87.8148144649
42.0345669509,-87.8110795035
42.0345668903,-87.8073445421
42.0345668298,-87.8036095808
42.0345667692,-87.7998746194
42.0345667087,-87.796139658
42.0345666481,-87.7924046967
42.0345665876,-87.7886697353
42.0345665271,-87.7849347739
42.0345664665,-87.7811998126
42.034566406,-87.7774648512
42.0345663454,-87.7737298899
42.0345662849,-87.7699949286
