lat,lng
30.139189,-95.910845
30.1391887018,-95.9019735624
30.1391884035,-95.8931021247
30.1391881053,-95.8842306872
30.1391878071,-95.8753592496
30.1391875089,-95.8664878121
30.1391872106,-95.8576163746
30.1391869124,-95.8487449371
30.1391866142,-95.8398734996
30.139186316,-95.8310020622
30.1391860177,-95.8221306248
30.1391857195,-95.8132591874
30.1391854213,-95.8043877501
30.139185123,-95.7955163128
30.1391848248,-95.7866448755
30.1391845266,-95.7777734382
30.1391842284,-95.768902001
30.1391839301,-95.7600305638
30.1391836319,-95.7511591266
30.1391833337,-95.7422876894
30.1391830355,-95.7334162523
30.1391827372,-95.7245448152
30.139182439,-95.7156733781
30.1391821408,-95.7068019411
30.1391818425,-95.697930504
30.1391815443,-95.689059067
30.1391812461,-95.6801876301
30.1391809479,-95.6713161931
30.1391806496,-95.6624447562
30.1391803514,-95.6535733193
30.1391800532,-95.6447018825
30.139179755,-95.6358304456
30.1391794567,-95.6269590088
30.1391791585,-95.618087572
30.1391788603,-95.6092161353
30.139178562,-95.6003446985
30.1391782638,-95.5914732618
30.1391779656,-95.5826018252
30.1391776674,-95.5737303885
30.1391773691,-95.5648589519
30.1391770709,-95.5559875153
30.1391767727,-95.5471160787
30.1391764745,-95.5382446422
30.1391761762,-95.5293732057
30.139175878,-95.5205017692
30.1391755798,-95.5116303327
30.1391752815,-95.5027588963
30.1391749833,-95.4938874599
30.1391746851,-95.4850160235
30.1391743869,-95.4761445872
30.1391740886,-95.4672731508
30.1391737904,-95.4584017145
30.1391734922,-95.4495302783
30.139173194,-95.440658842
30.1391728957,-95.4317874058
30.1391725975,-95.4229159696
30.1391722993,-95.4140445334
30.139172001,-95.4051730973
30.1391717028,-95.3963016612
30.1391714046,-95.3874302251
30.1391711064,-95.378558789
30.1391708081,-95.369687353
30.1391705099,-95.360815917
30.1391702117,-95.351944481
30.1391699135,-95.3430730451
30.1391696152,-95.3342016092
30.139169317,-95.3253301733
30.1391690188,-95.3164587374
30.1391687205,-95.3075873015
30.1391684223,-95.2987158657
30.1391681241,-95.2898444299
30.1391678259,-95.2809729942
30.1391675276,-95.2721015584
30.1391672294,-95.2632301227
30.1391669312,-95.254358687
30.139166633,-95.2454872514
30.1391663347,-95.2366158158
30.1391660365,-95.2277443802
30.1391657383,-95.2188729446
30.1391654401,-95.210001509
30.1391651418,-95.2011300735
30.1391648436,-95.192258638
30.1391645454,-95.1833872025
30.1391642471,-95.1745157671
30.1391639489,-95.1656443317
30.1391636507,-95.1567728963
30.1391633525,-95.1479014609
30.1391630542,-95.1390300256
30.139162756,-95.1301585903
30.1391624578,-95.121287155
30.1391621596,-95.1124157198
30.1391618613,-95.1035442845
30.1391615631,-95.0946728493
30.1391612649,-95.0858014142
