lat,lng
34.351373,-118.712969
34.3513729282,-118.708766733
34.3513728564,-118.704564467
34.3513727846,-118.7003622
34.3513727128,-118.696159934
34.351372641,-118.691957667
34.3513725693,-118.687755401
34.3513724975,-118.683553134
34.3513724257,-118.679350867
34.3513723539,-118.675148601
34.3513722821,-118.670946334
34.3513722103,-118.666744068
34.3513721385,-118.662541801
34.3513720667,-118.658339535
34.3513719949,-118.654137268
34.3513719231,-118.649935002
34.3513718514,-118.645732735
34.3513717796,-118.641530469
34.3513717078,-118.637328202
34.351371636,-118.633125936
34.3513715642,-118.628923669
34.3513714924,-118.624721403
34.3513714206,-118.620519136
34.3513713488,-118.616316869
34.351371277,-118.612114603
34.3513712052,-118.607912336
34.3513711335,-118.60371007
34.3513710617,-118.599507804
34.3513709899,-118.595305537
34.3513709181,-118.591103271
34.3513708463,-118.586901004
34.3513707745,-118.582698738
34.3513707027,-118.578496471
34.3513706309,-118.574294205
34.3513705591,-118.570091938
34.3513704873,-118.565889672
34.3513704156,-118.561687405
34.3513703438,-118.557485139
34.351370272,-118.553282872
34.3513702002,-118.549080606
34.3513701284,-118.544878339
34.3513700566,-118.540676073
34.3513699848,-118.536473807
34.351369913,-118.53227154
34.3513698412,-118.528069274
34.3513697694,-118.523867007
34.3513696977,-118.519664741
34.3513696259,-118.515462474
34.3513695541,-118.511260208
34.3513694823,-118.507057942
34.3513694105,-118.502855675
34.3513693387,-118.498653409
34.3513692669,-118.494451142
34.3513691951,-118.490248876
34.3513691233,-118.48604661
34.3513690515,-118.481844343
34.3513689798,-118.477642077
34.351368908,-118.47343981
34.3513688362,-118.469237544
34.3513687644,-118.465035278
34.3513686926,-118.460833011
34.3513686208,-118.456630745
34.351368549,-118.452428479
34.3513684772,-118.448226212
34.3513684054,-118.444023946
34.3513683336,-118.43982168
34.3513682619,-118.435619413
34.3513681901,-118.431417147
34.3513681183,-118.427214881
34.3513680465,-118.423012614
34.3513679747,-118.418810348
34.3513679029,-118.414608082
34.3513678311,-118.410405815
34.3513677593,-118.406203549
34.3513676875,-118.402001283
34.3513676157,-118.397799016
34.351367544,-118.39359675
34.3513674722,-118.389394484
34.3513674004,-118.385192217
34.3513673286,-118.380989951
34.3513672568,-118.376787685
34.351367185,-118.372585418
