lat,lng,name,tagname
40.749338,-73.987985,34th Street Herald Square,34th_Street_Herald_Square
40.712655,-74.009657,Delancey Street Essex Street,Delancey_Street_Essex_Street
40.710206,-74.007744,Fulton Street,Fulton_Street
40.757205,-73.98983,42nd Street Port Authority Bus Terminal,42nd_Street_Port_Authority_Bus_Terminal
40.841022,-73.939791,168th Street Washington Heights,168th_Street_Washington_Heights
40.712778,-74.004722,Brooklyn Bridge Chambers Street,Brooklyn_Bridge_Chambers_Street
40.712655,-74.009657,Chambers Street WTC Park Place,Chambers_Street_WTC_Park_Place
40.756,-73.987,Times Sqaure 42nd Street,Times_Sqaure_42nd_Street
40.754799,-73.984208,42nd Street 5th Avenue Bryant Park,42nd_Street_5th_Avenue_Bryant_Park
40.752283,-73.977519,Grand Central 42nd Street,Grand_Central_42nd_Street
40.757075,-73.989708,14th Street Sixth Avenue,14th_Street_Sixth_Avenue
40.718056,-74.0,Canal Street,Canal_Street
40.702472,-74.012833,South Ferry Whitehall Street,South_Ferry_Whitehall_Street
40.757075,-73.971977,Lexington Avenue 51st 53rd Streets,Lexington_Avenue_51st_53rd_Streets
40.768056,-73.981944,59th Street Columbus Circle,59th_Street_Columbus_Circle
40.725833,-73.994722,Bleecker Street Broadway Lafayette Street,Bleecker_Street_Broadway_Lafayette_Street
40.739779,-74.002533,14th Street Eighth Avenue,14th_Street_Eighth_Avenue
40.734722,-73.990278,14th Street Union Square,14th_Street_Union_Square
40.762471,-73.9679,Lexington Avenue 59th Street,Lexington_Avenue_59th_Street
