start_lat,start_lng,end_lat,end_lng,name
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7590996,-73.9921448,9th Ave
40.7590996,-73.9921448,40.7628978,-74.0006579,W 43rd St
40.7628978,-74.0006579,40.7643635,-73.9994176,
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.759791,-73.987927,8th Ave
40.759791,-73.987927,40.764349,-73.9987268,W 46th St
40.764349,-73.9987268,40.7647283,-73.9984431,12th Ave
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7616179,-73.9903167,9th Ave
40.7616179,-73.9903167,40.7645456,-73.9972864,W 47th St
40.7571646,-73.9896426,40.7608547,-73.9983163,W 42nd St
40.7608547,-73.9983163,40.7646274,-73.9955653,11th Ave
40.7646274,-73.9955653,40.7647293,-73.9958009,W 48th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7616616,-73.9865631,8th Ave
40.7616616,-73.9865631,40.7649239,-73.9943074,W 49th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7616616,-73.9865631,8th Ave
40.7616616,-73.9865631,40.76449,-73.9932745,W 49th St
40.7571646,-73.9896426,40.7596437,-73.9954843,W 42nd St
40.7596437,-73.9954843,40.764753,-73.9917482,10th Ave
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.762915,-73.985647,8th Ave
40.762915,-73.985647,40.7648734,-73.9902939,W 51st St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.762915,-73.985647,8th Ave
40.762915,-73.985647,40.7644432,-73.9892532,W 51st St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7635447,-73.9851925,8th Ave
40.7635447,-73.9851925,40.7646235,-73.9877736,W 52nd St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7641748,-73.9847444,8th Ave
40.7641748,-73.9847444,40.7648158,-73.986283,W 53rd St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7647976,-73.9842943,8th Ave
40.7647976,-73.9842943,40.7650068,-73.9847919,W 54th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7647976,-73.9842943,8th Ave
40.7647976,-73.9842943,40.7645729,-73.9837592,W 54th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.765418,-73.983822,8th Ave
40.765418,-73.983822,40.7647606,-73.9822488,W 55th St
40.7571646,-73.9896426,40.756034,-73.9869451,W 42nd St
40.756034,-73.9869451,40.764645,-73.9806894,7th Ave
40.7571646,-73.9896426,40.756034,-73.9869451,W 42nd St
40.756034,-73.9869451,40.7648499,-73.9805371,7th Ave
40.7648499,-73.9805371,40.7645164,-73.9797502,W 56th St
40.7571646,-73.9896426,40.7608547,-73.9983163,W 42nd St
40.7608547,-73.9983163,40.7627665,-73.9969268,11th Ave
40.7627665,-73.9969268,40.7635657,-73.9988444,W 45th St
40.7635657,-73.9988444,40.7638015,-73.9986577,
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.759791,-73.987927,8th Ave
40.759791,-73.987927,40.7636815,-73.9971697,W 46th St
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7616179,-73.9903167,9th Ave
40.7616179,-73.9903167,40.7638692,-73.9956814,W 47th St
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7616179,-73.9903167,9th Ave
40.7616179,-73.9903167,40.7634355,-73.9946479,W 47th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.761038,-73.987015,8th Ave
40.761038,-73.987015,40.7636238,-73.9931595,W 48th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7616616,-73.9865631,8th Ave
40.7616616,-73.9865631,40.7638156,-73.9916687,W 49th St
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7634827,-73.9889542,9th Ave
40.7634827,-73.9889542,40.7640027,-73.9901788,W 50th St
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.763639,-73.9888363,9th Ave
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.762915,-73.985647,8th Ave
40.762915,-73.985647,40.7637696,-73.9876499,W 51st St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7635447,-73.9851925,8th Ave
40.7635447,-73.9851925,40.763952,-73.986167,W 52nd St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7637506,-73.9850461,8th Ave
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7641748,-73.9847444,8th Ave
40.7641748,-73.9847444,40.7637083,-73.9836436,W 53rd St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7647976,-73.9842943,8th Ave
40.7647976,-73.9842943,40.7638984,-73.982151,W 54th St
40.7571646,-73.9896426,40.756034,-73.9869451,W 42nd St
40.756034,-73.9869451,40.763852,-73.9812559,7th Ave
40.7571646,-73.9896426,40.756034,-73.9869451,W 42nd St
40.756034,-73.9869451,40.7642274,-73.9809997,7th Ave
40.7642274,-73.9809997,40.7636539,-73.9796313,W 55th St
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7597377,-73.9916936,9th Ave
40.7597377,-73.9916936,40.7626175,-73.9985494,W 44th St
40.7571646,-73.9896426,40.7608547,-73.9983163,W 42nd St
40.7608547,-73.9983163,40.7626488,-73.9970147,11th Ave
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.759791,-73.987927,8th Ave
40.759791,-73.987927,40.7630031,-73.9955663,W 46th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.759791,-73.987927,8th Ave
40.759791,-73.987927,40.7625692,-73.9945335,W 46th St
40.7571646,-73.9896426,40.7596437,-73.9954843,W 42nd St
40.7596437,-73.9954843,40.7627474,-73.993191,10th Ave
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.761038,-73.987015,8th Ave
40.761038,-73.987015,40.7629482,-73.991554,W 48th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.761038,-73.987015,8th Ave
40.761038,-73.987015,40.7625134,-73.9905231,W 48th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7616616,-73.9865631,8th Ave
40.7616616,-73.9865631,40.7627066,-73.9890304,W 49th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7622891,-73.9861066,8th Ave
40.7622891,-73.9861066,40.7628918,-73.9875445,W 50th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7622891,-73.9861066,8th Ave
40.7622891,-73.9861066,40.7624584,-73.9865106,W 50th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.762915,-73.985647,8th Ave
40.762915,-73.985647,40.7626475,-73.9850227,W 51st St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7635447,-73.9851925,8th Ave
40.7635447,-73.9851925,40.7628391,-73.9835299,W 52nd St
40.7571646,-73.9896426,40.756034,-73.9869451,W 42nd St
40.756034,-73.9869451,40.7626408,-73.9821402,7th Ave
40.7571646,-73.9896426,40.756034,-73.9869451,W 42nd St
40.756034,-73.9869451,40.762968,-73.981895,7th Ave
40.762968,-73.981895,40.7625958,-73.9810079,W 53rd St
40.7571646,-73.9896426,40.756034,-73.9869451,W 42nd St
40.756034,-73.9869451,40.7636037,-73.9814253,7th Ave
40.7636037,-73.9814253,40.7627878,-73.9795148,W 54th St
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7590996,-73.9921448,9th Ave
40.7590996,-73.9921448,40.7617647,-73.9984244,W 43rd St
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7597377,-73.9916936,9th Ave
40.7597377,-73.9916936,40.7619447,-73.9969414,W 44th St
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7597377,-73.9916936,9th Ave
40.7597377,-73.9916936,40.7615091,-73.995912,W 44th St
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7603568,-73.9912263,9th Ave
40.7603568,-73.9912263,40.7617009,-73.9944212,W 45th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.759791,-73.987927,8th Ave
40.759791,-73.987927,40.7618994,-73.992922,W 46th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.759791,-73.987927,8th Ave
40.759791,-73.987927,40.7614624,-73.9918959,W 46th St
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7616179,-73.9903167,9th Ave
40.7616179,-73.9903167,40.7616543,-73.9904027,W 47th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.761038,-73.987015,8th Ave
40.761038,-73.987015,40.7618377,-73.9889176,W 48th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.761038,-73.987015,8th Ave
40.761038,-73.987015,40.7614037,-73.9878851,W 48th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7616616,-73.9865631,8th Ave
40.7616616,-73.9865631,40.7615916,-73.9863968,W 49th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7622891,-73.9861066,8th Ave
40.7622891,-73.9861066,40.7617846,-73.9849049,W 50th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7622891,-73.9861066,8th Ave
40.7622891,-73.9861066,40.7614492,-73.9841062,W 50th St
40.7614492,-73.9841062,40.7617798,-73.9838717,Broadway
40.7571646,-73.9896426,40.756034,-73.9869451,W 42nd St
40.756034,-73.9869451,40.7617301,-73.9828183,7th Ave
40.7617301,-73.9828183,40.7615428,-73.9823831,W 51st St
40.7571646,-73.9896426,40.756034,-73.9869451,W 42nd St
40.756034,-73.9869451,40.7623492,-73.9823587,7th Ave
40.7623492,-73.9823587,40.7617415,-73.9808838,W 52nd St
40.7571646,-73.9896426,40.7548529,-73.9841244,W 42nd St
40.7548529,-73.9841244,40.7615473,-73.9792512,Avenue of the Americas
40.7571646,-73.9896426,40.7608547,-73.9983163,W 42nd St
40.7608547,-73.9983163,40.7606466,-73.9984672,11th Ave
40.7571646,-73.9896426,40.7603855,-73.99722,W 42nd St
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7590996,-73.9921448,9th Ave
40.7590996,-73.9921448,40.7606448,-73.995795,W 43rd St
40.7571646,-73.9896426,40.7596437,-73.9954843,W 42nd St
40.7596437,-73.9954843,40.7607542,-73.9946562,10th Ave
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7597377,-73.9916936,9th Ave
40.7597377,-73.9916936,40.7604018,-73.9932721,W 44th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7591625,-73.988378,8th Ave
40.7591625,-73.988378,40.7605994,-73.9917769,W 45th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.759791,-73.987927,8th Ave
40.759791,-73.987927,40.7607826,-73.9902921,W 46th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.759791,-73.987927,8th Ave
40.759791,-73.987927,40.7603491,-73.9892582,W 46th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.760411,-73.9874575,8th Ave
40.760411,-73.9874575,40.7605418,-73.9877675,W 47th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.761038,-73.987015,8th Ave
40.761038,-73.987015,40.7607289,-73.9862795,W 48th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.761038,-73.987015,8th Ave
40.761038,-73.987015,40.7601347,-73.9848652,W 48th St
40.7601347,-73.9848652,40.7605248,-73.984652,Broadway
40.7571646,-73.9896426,40.756034,-73.9869451,W 42nd St
40.756034,-73.9869451,40.7606528,-73.9836265,7th Ave
40.7571646,-73.9896426,40.756034,-73.9869451,W 42nd St
40.756034,-73.9869451,40.7611032,-73.9832881,7th Ave
40.7611032,-73.9832881,40.7606703,-73.9822706,W 50th St
40.7571646,-73.9896426,40.756034,-73.9869451,W 42nd St
40.756034,-73.9869451,40.7617301,-73.9828183,7th Ave
40.7617301,-73.9828183,40.7608701,-73.9807768,W 51st St
40.7571646,-73.9896426,40.7548529,-73.9841244,W 42nd St
40.7548529,-73.9841244,40.7607549,-73.979817,Avenue of the Americas
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7578527,-73.9930905,9th Ave
40.7578527,-73.9930905,40.759922,-73.998244,W 41st St
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7578527,-73.9930905,9th Ave
40.7578527,-73.9930905,40.7595024,-73.9972318,W 41st St
40.7571646,-73.9896426,40.7597391,-73.9957078,W 42nd St
40.7571646,-73.9896426,40.7592994,-73.9946874,W 42nd St
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7590996,-73.9921448,9th Ave
40.7590996,-73.9921448,40.759531,-73.9931612,W 43rd St
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7596424,-73.991761,9th Ave
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7591625,-73.988378,8th Ave
40.7591625,-73.988378,40.7599169,-73.9901771,W 45th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.7591625,-73.988378,8th Ave
40.7591625,-73.988378,40.7594835,-73.9891434,W 45th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.759791,-73.987927,8th Ave
40.759791,-73.987927,40.7596747,-73.9876527,W 46th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.760411,-73.9874575,8th Ave
40.760411,-73.9874575,40.7598633,-73.9861631,W 47th St
40.7571646,-73.9896426,40.7572276,-73.989793,W 42nd St
40.7572276,-73.989793,40.760411,-73.9874575,8th Ave
40.760411,-73.9874575,40.7594242,-73.9851254,W 47th St
40.7594242,-73.9851254,40.7596451,-73.9850445,Broadway
40.7571646,-73.9896426,40.756034,-73.9869451,W 42nd St
40.756034,-73.9869451,40.7598462,-73.984197,7th Ave
40.7598462,-73.984197,40.7596135,-73.9836462,W 48th St
40.7571646,-73.9896426,40.756034,-73.9869451,W 42nd St
40.756034,-73.9869451,40.7604762,-73.9837592,7th Ave
40.7604762,-73.9837592,40.7598035,-73.9821567,W 49th St
40.7571646,-73.9896426,40.7548529,-73.9841244,W 42nd St
40.7548529,-73.9841244,40.7595354,-73.9806959,Avenue of the Americas
40.7571646,-73.9896426,40.7548529,-73.9841244,W 42nd St
40.7548529,-73.9841244,40.7598896,-73.9804421,Avenue of the Americas
40.7598896,-73.9804421,40.7595554,-73.9796364,W 50th St
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7565386,-73.9940357,9th Ave
40.7565386,-73.9940357,40.7584607,-73.9985969,W 39th St
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7571543,-73.9935881,9th Ave
40.7571543,-73.9935881,40.7586381,-73.9971164,W 40th St
40.7571646,-73.9896426,40.7584248,-73.9926409,W 42nd St
40.7584248,-73.9926409,40.7578527,-73.9930905,9th Ave
40.7578527,-73.9930905,40.7588339,-73.9956356,W 41st St
