start_lat,start_lng,end_lat,end_lng,name,station,opacity
40.71268,-74.00971,40.71274,-74.00966,Church St,Delancey Street Essex Stree,0.75
40.71274,-74.00966,40.71326,-74.00926,Church St,Delancey Street Essex Stree,0.19
40.71326,-74.00926,40.71381,-74.00881,Church St,Delancey Street Essex Stree,0.18
40.71381,-74.00881,40.71436,-74.00838,Church St,Delancey Street Essex Stree,0.17
40.71436,-74.00838,40.71438,-74.00847,Warren St,Delancey Street Essex Stree,0.01
40.71438,-74.00847,40.7144,-74.00852,Warren St,Delancey Street Essex Stree,0.01
40.7144,-74.00852,40.71442,-74.00856,Warren St,Delancey Street Essex Stree,0.01
40.71442,-74.00856,40.71495,-74.00969,Warren St,Delancey Street Essex Stree,0.01
40.72583,-73.99471,40.7259,-73.99465,Lafayette St,Bleecker Street Broadway Lafayette Stree,2.66
40.7259,-73.99465,40.72585,-73.99455,Bleecker St,Bleecker Street Broadway Lafayette Stree,1.11
40.72585,-73.99455,40.7258,-73.99447,Bleecker St,Bleecker Street Broadway Lafayette Stree,1.1
40.7258,-73.99447,40.72562,-73.99376,Bleecker St,Bleecker Street Broadway Lafayette Stree,1.07
40.72562,-73.99376,40.72542,-73.99304,Bleecker St,Bleecker Street Broadway Lafayette Stree,1.05
40.72542,-73.99304,40.72534,-73.99272,Bleecker St,Bleecker Street Broadway Lafayette Stree,1.01
40.72534,-73.99272,40.72523,-73.99229,Bleecker St,Bleecker Street Broadway Lafayette Stree,1.01
40.72523,-73.99229,40.72519,-73.99215,Bleecker St,Bleecker Street Broadway Lafayette Stree,0.46
40.72519,-73.99215,40.72485,-73.99227,Bowery,Bleecker Street Broadway Lafayette Stree,0.44
40.72485,-73.99227,40.72459,-73.99162,E 1st St,Bleecker Street Broadway Lafayette Stree,0.93
40.72459,-73.99162,40.72426,-73.99081,E 1st St,Bleecker Street Broadway Lafayette Stree,0.92
40.72426,-73.99081,40.72333,-73.98861,E 1st St,Bleecker Street Broadway Lafayette Stree,0.9
40.72333,-73.98861,40.72326,-73.98844,E 1st St,Bleecker Street Broadway Lafayette Stree,0.9
40.72326,-73.98844,40.7232,-73.98828,E 1st St,Bleecker Street Broadway Lafayette Stree,0.88
40.7232,-73.98828,40.72268,-73.98703,E 1st St,Bleecker Street Broadway Lafayette Stree,0.88
40.72268,-73.98703,40.72252,-73.98667,E 1st St,Bleecker Street Broadway Lafayette Stree,0.88
40.72252,-73.98667,40.72232,-73.98651,E 1st St,Bleecker Street Broadway Lafayette Stree,0.88
40.72232,-73.98651,40.72225,-73.98628,E Houston St,Bleecker Street Broadway Lafayette Stree,0.88
40.72225,-73.98628,40.72208,-73.98576,E Houston St,Bleecker Street Broadway Lafayette Stree,0.84
40.72208,-73.98576,40.72201,-73.98549,E Houston St,Bleecker Street Broadway Lafayette Stree,0.84
40.72201,-73.98549,40.72177,-73.98464,E Houston St,Bleecker Street Broadway Lafayette Stree,0.81
40.72177,-73.98464,40.7215,-73.9838,E Houston St,Bleecker Street Broadway Lafayette Stree,0.77
40.7215,-73.9838,40.72126,-73.98298,E Houston St,Bleecker Street Broadway Lafayette Stree,0.69
40.72126,-73.98298,40.721,-73.98214,E Houston St,Bleecker Street Broadway Lafayette Stree,0.69
40.721,-73.98214,40.72086,-73.98169,E Houston St,Bleecker Street Broadway Lafayette Stree,0.62
40.72086,-73.98169,40.72074,-73.98127,E Houston St,Bleecker Street Broadway Lafayette Stree,0.62
40.72074,-73.98127,40.72047,-73.98041,E Houston St,Bleecker Street Broadway Lafayette Stree,0.55
40.72047,-73.98041,40.72024,-73.97971,E Houston St,Bleecker Street Broadway Lafayette Stree,0.55
40.72024,-73.97971,40.72011,-73.97928,E Houston St,Bleecker Street Broadway Lafayette Stree,0.55
40.72011,-73.97928,40.71996,-73.97878,E Houston St,Bleecker Street Broadway Lafayette Stree,0.54
40.71996,-73.97878,40.71995,-73.97873,E Houston St,Bleecker Street Broadway Lafayette Stree,0.54
40.71995,-73.97873,40.71965,-73.97798,E Houston St,Bleecker Street Broadway Lafayette Stree,0.48
40.71965,-73.97798,40.71953,-73.97766,E Houston St,Bleecker Street Broadway Lafayette Stree,0.48
40.71953,-73.97766,40.71944,-73.97742,E Houston St,Bleecker Street Broadway Lafayette Stree,0.48
40.71944,-73.97742,40.7194,-73.97732,E Houston St,Bleecker Street Broadway Lafayette Stree,0.48
40.7194,-73.97732,40.71936,-73.97718,E Houston St,Bleecker Street Broadway Lafayette Stree,0.47
40.71936,-73.97718,40.71933,-73.97706,E Houston St,Bleecker Street Broadway Lafayette Stree,0.42
40.71933,-73.97706,40.71929,-73.97687,E Houston St,Bleecker Street Broadway Lafayette Stree,0.42
40.71929,-73.97687,40.71927,-73.97673,E Houston St,Bleecker Street Broadway Lafayette Stree,0.42
40.71927,-73.97673,40.71918,-73.97633,E Houston St,Bleecker Street Broadway Lafayette Stree,0.42
40.71918,-73.97633,40.71905,-73.97573,E Houston St,Bleecker Street Broadway Lafayette Stree,0.41
40.71905,-73.97573,40.71901,-73.97554,E Houston St,Bleecker Street Broadway Lafayette Stree,0.41
40.71901,-73.97554,40.71898,-73.97542,E Houston St,Bleecker Street Broadway Lafayette Stree,0.41
40.71898,-73.97542,40.71896,-73.97526,E Houston St,Bleecker Street Broadway Lafayette Stree,0.39
40.71896,-73.97526,40.71895,-73.97513,E Houston St,Bleecker Street Broadway Lafayette Stree,0.38
40.71895,-73.97513,40.71895,-73.97506,E Houston St,Bleecker Street Broadway Lafayette Stree,0.38
40.71895,-73.97506,40.71871,-73.9751,FDR Drive,Bleecker Street Broadway Lafayette Stree,0.15
40.71871,-73.9751,40.71823,-73.9752,FDR Drive,Bleecker Street Broadway Lafayette Stree,0.13
40.71823,-73.9752,40.71809,-73.97523,FDR Drive,Bleecker Street Broadway Lafayette Stree,0.12
40.71809,-73.97523,40.71784,-73.97529,FDR Drive,Bleecker Street Broadway Lafayette Stree,0.11
40.71784,-73.97529,40.7171,-73.97562,FDR Drive,Bleecker Street Broadway Lafayette Stree,0.01
40.74937,-73.98806,40.74919,-73.98819,Avenue of the Americas,34th Street Herald Squar,1.2
40.74919,-73.98819,40.7491,-73.98826,Avenue of the Americas,34th Street Herald Squar,0.68
40.7491,-73.98826,40.74851,-73.98871,Avenue of the Americas,34th Street Herald Squar,0.59
40.74851,-73.98871,40.74789,-73.98917,Avenue of the Americas,34th Street Herald Squar,0.58
40.74789,-73.98917,40.74727,-73.98962,Avenue of the Americas,34th Street Herald Squar,0.51
40.74727,-73.98962,40.74665,-73.99007,Avenue of the Americas,34th Street Herald Squar,0.42
40.74665,-73.99007,40.74602,-73.99052,Avenue of the Americas,34th Street Herald Squar,0.36
40.74602,-73.99052,40.74638,-73.99135,W 28th St,34th Street Herald Squar,0.24
40.74638,-73.99135,40.74679,-73.99231,W 28th St,34th Street Herald Squar,0.24
40.74679,-73.99231,40.74723,-73.99336,W 28th St,34th Street Herald Squar,0.24
40.74723,-73.99336,40.74843,-73.9962,W 28th St,34th Street Herald Squar,0.23
40.74843,-73.9962,40.74849,-73.99633,W 28th St,34th Street Herald Squar,0.22
40.74849,-73.99633,40.74854,-73.99643,W 28th St,34th Street Herald Squar,0.22
40.74854,-73.99643,40.74858,-73.99648,W 28th St,34th Street Herald Squar,0.21
40.74858,-73.99648,40.74861,-73.99654,W 28th St,34th Street Herald Squar,0.21
40.74861,-73.99654,40.74865,-73.99659,W 28th St,34th Street Herald Squar,0.21
40.74865,-73.99659,40.74869,-73.99664,W 28th St,34th Street Herald Squar,0.2
40.74869,-73.99664,40.74872,-73.99668,W 28th St,34th Street Herald Squar,0.2
40.74872,-73.99668,40.74877,-73.99672,W 28th St,34th Street Herald Squar,0.19
40.74877,-73.99672,40.74885,-73.99678,W 28th St,34th Street Herald Squar,0.19
40.74885,-73.99678,40.74889,-73.9968,W 28th St,34th Street Herald Squar,0.18
40.74889,-73.9968,40.74897,-73.99685,W 28th St,34th Street Herald Squar,0.01
40.71803,-73.99995,40.71866,-73.99944,Centre St,Canal Stree,2.25
40.71866,-73.99944,40.71862,-73.99937,Hester St,Canal Stree,1.13
40.71862,-73.99937,40.71861,-73.99933,Hester St,Canal Stree,1.13
40.71861,-73.99933,40.71859,-73.9993,Hester St,Canal Stree,1.13
40.71859,-73.9993,40.71841,-73.99878,Hester St,Canal Stree,1.13
40.71841,-73.99878,40.71812,-73.99796,Hester St,Canal Stree,1.13
40.71812,-73.99796,40.71783,-73.99716,Hester St,Canal Stree,1.09
40.71783,-73.99716,40.71756,-73.99636,Hester St,Canal Stree,1.05
