start_lat,start_lng,end_lat,end_lng,name,station,opacity
19.2222,72.85462,19.2226,72.85462,Natakwala Ln,Borivali,2.52
19.2226,72.85462,19.22267,72.85462,Natakwala Ln,Borivali,2.52
19.22267,72.85462,19.22273,72.85463,Natakwala Ln,Borivali,2.52
19.22273,72.85463,19.223,72.8547,Natakwala Ln,Borivali,2.52
19.223,72.8547,19.22315,72.85418,Natakwala Ln,Borivali,2.52
19.22315,72.85418,19.22321,72.85399,Natakwala Ln,Borivali,2.52
19.22321,72.85399,19.22326,72.85385,Natakwala Ln,Borivali,2.52
19.22326,72.85385,19.22318,72.85381,Swami Vivekanand Rd,Borivali,1.96
19.22318,72.85381,19.22322,72.85373,Shimpoli Rd,Borivali,1.96
19.22322,72.85373,19.22322,72.85371,Shimpoli Rd,Borivali,1.96
19.22322,72.85371,19.22338,72.85334,Shimpoli Rd,Borivali,1.96
19.22338,72.85334,19.22361,72.85246,Shimpoli Rd,Borivali,1.96
19.22361,72.85246,19.22361,72.85245,Shimpoli Rd,Borivali,1.96
19.22361,72.85245,19.22366,72.85225,Shimpoli Rd,Borivali,1.96
19.22366,72.85225,19.22371,72.85196,Shimpoli Rd,Borivali,1.96
19.22371,72.85196,19.22373,72.85158,Shimpoli Rd,Borivali,1.96
19.22373,72.85158,19.22373,72.85143,Shimpoli Rd,Borivali,1.96
19.22373,72.85143,19.22368,72.8508,Shimpoli Rd,Borivali,1.95
19.22368,72.8508,19.22368,72.85079,Shimpoli Rd,Borivali,1.95
19.22368,72.85079,19.22366,72.85046,Shimpoli Rd,Borivali,1.95
19.22366,72.85046,19.22365,72.85027,Shimpoli Rd,Borivali,1.95
19.22365,72.85027,19.22369,72.84958,Shimpoli Rd,Borivali,1.95
19.22369,72.84958,19.22371,72.84958,V Chogle Rd,Borivali,1.9
19.22371,72.84958,19.22471,72.84959,V Chogle Rd,Borivali,1.9
19.22471,72.84959,19.22559,72.84958,V Chogle Rd,Borivali,1.9
19.22559,72.84958,19.22573,72.84953,V Chogle Rd,Borivali,1.9
19.22573,72.84953,19.22591,72.84953,V Chogle Rd,Borivali,1.9
19.22591,72.84953,19.22657,72.84952,V Chogle Rd,Borivali,1.9
19.22657,72.84952,19.22725,72.84953,V Chogle Rd,Borivali,1.9
19.22725,72.84953,19.2279,72.8481,Vasant Rao Chogale Rd,Borivali,1.9
19.2279,72.8481,19.22798,72.84791,Vasant Rao Chogale Rd,Borivali,1.9
19.22798,72.84791,19.22798,72.8479,Vasant Rao Chogale Rd,Borivali,1.9
19.22798,72.8479,19.22799,72.8479,Vasant Rao Chogale Rd,Borivali,1.9
19.22799,72.8479,19.228,72.84789,Vasant Rao Chogale Rd,Borivali,1.9
19.228,72.84789,19.228,72.84788,Vasant Rao Chogale Rd,Borivali,1.9
