0,Sumner Street,11th Avenue
1,Ainsworth Street,Martin Luther
2,Rural Street,87th Avenue
3,Hawthorne Boulevard,9th Avenue
4,Hawthorne Boulevard,34th Avenue
5,Shaver Street,Martin Luther
6,Flanders Street,53rd Avenue
7,Sacramento Street,Martin Luther
8,42nd Avenue,Gladstone Street
9,Killingsworth Street,15th Avenue
10,Interstate Avenue,Wheeler Avenue
11,Weidler Street,7th Avenue
12,Vermont Street,45th Avenue
13,9th Avenue,Multnomah Street
14,Milwaukie Avenue,Lafayette Street
15,9th Avenue,Glisan Street
16,20th Avenue,Sherman Street
17,Ave. Footpath,61st Avenue
18,Lovejoy Street,22nd Avenue
19,82nd Avenue,Klickitat Street
20,Couch Street,Martin Luther
21,Ankeny Street,15th Avenue
22,82nd Avenue,Malden Court
23,Powell Boulevard,115th Avenue
24,Gladstone Street,28th Avenue
25,Portsmouth Avenue,Lombard Street
26,Salmon Street,14th Avenue
27,108th Avenue,Washington Street
28,Terwilliger Boulevard,Condor Lane
29,Couch Street,20th Avenue
30,Division Street,50th Avenue
31,Barbur Boulevard,30th Avenue
32,82nd Avenue,Boise Street
33,102nd Avenue,Cherry Blossom
34,122nd Avenue,Glisan Street
35,Broadway,2nd Avenue
36,Flanders Street,3rd Avenue
37,Glisan Street,24th Avenue
38,Schuyler Street,8th Avenue
39,Irving Street,Broadway
40,Interstate Avenue,Wheeler Avenue
41,Killingsworth Street,Moore Avenue
42,Hawthorne Boulevard,14th Avenue
43,Pettygrove Street,22nd Avenue
44,Houghton Street,Geneva Avenue
45,Stanton Street,122nd Avenue
46,Stark Street,Cesar E
47,16th Drive,Multnomah Street
48,122nd Avenue,Drive Trail
49,Monteith Avenue,Syracuse Street
50,Stark Street,102nd Avenue
51,Cesar E,Gladstone Street
52,Salmon Street,7th Avenue
53,Burnside Street,20th Avenue
54,Mall Street,36th Place
55,Lincoln Street,51st Avenue
56,Barbur Boulevard,Hamilton Street
57,Clinton Street,41st Avenue
58,Milwaukie Avenue,Holgate Boulevard
59,Trail,Connector
60,26th Way,Barbur Court
61,Burnside Street,12th Avenue
62,Division Street,68th Avenue
63,Powell Boulevard,77th Avenue
64,2nd Avenue,Terwilliger Boulevard
65,Taylors Ferry,2nd Avenue
66,28th Avenue,Broadway
67,Water Avenue,Abernethy Street
68,Broadway,6th Avenue
69,7th Avenue,Knott Street
70,1st Avenue,Jefferson Street
71,Glisan Street,4th Avenue
72,Russell Street,Rodney Avenue
73,Powell Boulevard,92nd Avenue
74,9th Avenue,Division Place
75,Interstate Avenue,Interstate Place
76,Ankeny Street,28th Avenue
77,Rosa Parks,Fenwick Avenue
78,33rd Avenue,Yamhill Street
79,Irving Street,12th Avenue
80,45th Avenue,Burnside Street
81,Couch Street,12th Avenue
82,45th Avenue,Nevada Street
83,Glisan Street,205 Corridor
84,122nd Avenue,Main Street
85,Division Street,Corridor
86,148th Avenue,Powell Boulevard
87,Couch Street,Broadway
88,Ankeny Street,20th Avenue
89,Powell Boulevard,67th Avenue
90,23rd Place,Vaughn Street
91,20th Avenue,Hawthorne Boulevard
92,Hawthorne Boulevard,11th Avenue
93,Broadway,Burnside Street
94,Ankeny Street,28th Avenue
95,4th Avenue,Burnside Street
96,Foster Road,66th Avenue
97,Glenwood Street,82nd Avenue
98,Salmon Street,18th Avenue
99,Powell Boulevard,50th Avenue
100,Taylor Street,6th Avenue
101,Sandy Boulevard,Transit Center
102,Ankeny Street,12th Avenue
103,82nd Avenue,Raymond Court
104,Stark Street,146th Avenue
105,Hawthorne Boulevard,11th Avenue
106,Oak Street,3rd Avenue
107,Milton Street,154th Avenue
108,Park Place,Vista Avenue
109,Stark Street,122nd Avenue
110,Lovejoy Street,18th Avenue
111,Martin Luther,Mason Street
112,Irving Street,20th Avenue
113,Broadway,Victoria Avenue
114,Salmon Street,Grand Avenue
115,Broadway,15th Avenue
116,Stark Street,122nd Avenue
117,Lombard Street,Charleston Avenue
118,Bush Street,86th Avenue
119,Ainsworth Street,Martin Luther
120,60th Avenue,Capitol Highway
121,Williams Avenue,Graham Street
122,Broadway,Wheeler Avenue
123,Hawthorne Boulevard,Grand Avenue
124,Madison Street,82nd Avenue
125,Holgate Boulevard,118th Avenue
126,Weidler Street,3rd Avenue
127,Glisan Street,23rd Avenue
128,Broadway,Hoyt Street
129,52nd Avenue,Gladstone Street
130,Glisan Street,125th Avenue
131,Washington Street,105th Avenue
132,Everett Street,28th Avenue
133,Foster Road,88th Avenue
134,Glisan Street,Broadway
135,Clay Street,9th Avenue
136,Cesar E,Division Street
137,Rhone Street,70th Avenue
138,Interstate Avenue,Oregon Street
139,Broadway,Burnside Street
140,Interstate Avenue,Fenwick Avenue
141,Dekum Street,29th Avenue
142,65th Avenue,Burnside Street
143,Overton Street,18th Avenue
144,Moody Avenue,Curry Street
145,Ladd Circle,Elliott Avenue
146,Mount Hood,Cascades Parkway
147,Marine Drive,Anchor Way
148,162nd Avenue,Alder Street
149,Sandy Boulevard,101st Avenue
150,Grand Avenue,Broadway
151,Yamhill Street,4th Avenue
152,Killingsworth Street,Haight Avenue
153,Vancouver Avenue,Rosa Parks
154,Sandy Boulevard,105th Avenue
155,Weidler Street,Flint Avenue
156,7th Avenue,Madison Street
157,Vancouver Avenue,Graham Street
158,8th Avenue,Belmont Street
159,Irving Street,16th Avenue
160,Martin Luther,Taylor Street
161,Trail,Connector
162,Beaverton Hillsdale,Dosch Road
163,Grand Avenue,Alberta Street
164,Salmon Street,162nd Avenue
165,28th Avenue,Thompson Street
166,Powell Boulevard,40th Avenue
167,Woodstock Boulevard,72nd Avenue
