lat,lng,name,tagname
37.784,-122.408,Powell Street,Powell_Street
37.789355,-122.401942,Montgomery Street,Montgomery_Street
37.706224,-122.468934,Daly City,Daly_City
37.779861,-122.413498,Civic Center,Civic_Center
37.795383,-122.394438,Ferry Building,Ferry_Building
40.737328,-73.996796,Mission,Mission
37.79288,-122.39699,Embarcadero,Embarcadero
37.733118,-122.433808,Glen Park,Glen_Park
37.740822,-122.46589,West portal,West_portal
37.809246,-122.411851,Pier 39,Pier_39
37.752,-122.4187,24th Street,24th_Street
37.764847,-122.420042,16th Street,16th_Street
37.722868,-122.444951,Balboa park,Balboa_park
37.776376,-122.393891,King St and 4th St,King_St_and_4th_St
37.786166,-122.391828,Brannan Street,Brannan_Street
37.80698,-122.475262,Golden Gate Bridge Toll Plaza,Golden_Gate_Bridge_Toll_Plaza
37.8093,-122.412031,Fishermans Wharf Terminal,Fishermans_Wharf_Terminal
