start_lat,start_lng,end_lat,end_lng,name
37.7229214,-122.4449723,37.7229185,-122.4516208,Ocean Ave
37.7229185,-122.4516208,37.7230769,-122.4516988,Geneva Ave
37.7230769,-122.4516988,37.7231583,-122.4523301,Ocean Ave
37.7231583,-122.4523301,37.727924,-122.4523834,Phelan Ave
37.727924,-122.4523834,37.728303,-122.4523341,Phelan Ave
37.728303,-122.4523341,37.7290672,-122.4524487,Phelan Ave
37.7290672,-122.4524487,37.7291683,-122.4540026,Staples Ave
37.7291683,-122.4540026,37.7306337,-122.4543715,Hazelwood Ave
37.7229214,-122.4449723,37.7229185,-122.4516208,Ocean Ave
37.7229185,-122.4516208,37.7230769,-122.4516988,Geneva Ave
37.7230769,-122.4516988,37.7231583,-122.4523301,Ocean Ave
37.7231583,-122.4523301,37.727924,-122.4523834,Phelan Ave
37.727924,-122.4523834,37.728303,-122.4523341,Phelan Ave
37.728303,-122.4523341,37.7298675,-122.452451,Phelan Ave
37.7298675,-122.452451,37.729842,-122.4534048,Flood Ave
37.729842,-122.4534048,37.7305405,-122.4534083,Ridgewood Ave
37.7229214,-122.4449723,37.7229198,-122.4471932,Ocean Ave
37.7229198,-122.4471932,37.7230421,-122.4471668,Ocean Ave
37.7230421,-122.4471668,37.7230356,-122.4490989,Ocean Ave
37.7230356,-122.4490989,37.7243288,-122.448729,Cloud Cir
37.7243288,-122.448729,37.7243851,-122.4488472,Cloud Cir
37.7243851,-122.4488472,37.7247456,-122.4488008,Cloud Cir
37.7247456,-122.4488008,37.7252505,-122.4493382,Cloud Cir
37.7252505,-122.4493382,37.7253582,-122.4495828,Cloud Cir
37.7253582,-122.4495828,37.7268457,-122.450697,Cloud Cir
37.7268457,-122.450697,37.7283574,-122.4507826,Judson Ave
37.7283574,-122.4507826,37.7283576,-122.4511262,Judson Ave
37.7283576,-122.4511262,37.7306847,-122.451145,Gennessee St
37.7306847,-122.451145,37.7306795,-122.4520671,Hearst Ave
37.7229214,-122.4449723,37.7229198,-122.4471932,Ocean Ave
37.7229198,-122.4471932,37.7230421,-122.4471668,Ocean Ave
37.7230421,-122.4471668,37.7230356,-122.4490989,Ocean Ave
37.7230356,-122.4490989,37.7243288,-122.448729,Cloud Cir
37.7243288,-122.448729,37.7243851,-122.4488472,Cloud Cir
