start_lat,start_lng,end_lat,end_lng,name,station,opacity
37.73313,-122.43385,37.73322,-122.43395,Diamond St,Glen Park,8.46
37.73322,-122.43395,37.73322,-122.43429,Diamond St,Glen Park,8.46
37.73322,-122.43429,37.73352,-122.4342,Diamond St,Glen Park,8.22
37.73352,-122.4342,37.73341,-122.4337,Bosworth St,Glen Park,5.74
37.73341,-122.4337,37.73333,-122.43327,Bosworth St,Glen Park,5.74
37.73333,-122.43327,37.73328,-122.43307,Bosworth St,Glen Park,5.74
37.73328,-122.43307,37.73325,-122.43292,Bosworth St,Glen Park,5.74
37.73325,-122.43292,37.73324,-122.43285,Bosworth St,Glen Park,5.74
37.73324,-122.43285,37.73324,-122.43279,Bosworth St,Glen Park,5.74
37.73324,-122.43279,37.73322,-122.43272,Bosworth St,Glen Park,5.74
37.73322,-122.43272,37.7332,-122.43267,Bosworth St,Glen Park,5.74
37.7332,-122.43267,37.73319,-122.43263,Bosworth St,Glen Park,5.74
37.73319,-122.43263,37.73317,-122.43258,Bosworth St,Glen Park,5.74
37.73317,-122.43258,37.73315,-122.43252,Bosworth St,Glen Park,5.74
37.73315,-122.43252,37.73311,-122.43241,Bosworth St,Glen Park,5.74
37.73311,-122.43241,37.73293,-122.43224,Lyell St,Glen Park,2.85
37.73293,-122.43224,37.73289,-122.4322,Lyell St,Glen Park,2.85
37.73289,-122.4322,37.73285,-122.43217,Lyell St,Glen Park,2.85
37.73285,-122.43217,37.73278,-122.43211,Lyell St,Glen Park,2.85
37.73278,-122.43211,37.73271,-122.43206,Lyell St,Glen Park,2.85
37.73271,-122.43206,37.73263,-122.43201,Lyell St,Glen Park,2.85
37.73263,-122.43201,37.73259,-122.43198,Lyell St,Glen Park,2.85
37.73259,-122.43198,37.73248,-122.43196,Lyell St,Glen Park,2.85
37.73248,-122.43196,37.73223,-122.43193,Lyell St,Glen Park,2.85
37.73223,-122.43193,37.73202,-122.43188,Lyell St,Glen Park,2.85
37.73202,-122.43188,37.73191,-122.43184,Lyell St,Glen Park,2.85
37.73191,-122.43184,37.73176,-122.43175,Lyell St,Glen Park,2.85
37.73176,-122.43175,37.73166,-122.43171,Lyell St,Glen Park,2.82
37.73166,-122.43171,37.731,-122.43141,Lyell St,Glen Park,2.82
37.731,-122.43141,37.73062,-122.43126,Lyell St,Glen Park,2.8
37.73062,-122.43126,37.73053,-122.43122,Lyell St,Glen Park,2.8
37.73053,-122.43122,37.73061,-122.43097,Alemany Blvd,Glen Park,2.78
37.73061,-122.43097,37.73045,-122.43089,Admiral Ave,Glen Park,2.45
37.73045,-122.43089,37.73041,-122.43088,Admiral Ave,Glen Park,2.45
37.73041,-122.43088,37.73039,-122.43087,Admiral Ave,Glen Park,2.45
37.73039,-122.43087,37.73037,-122.43087,Admiral Ave,Glen Park,2.45
37.73037,-122.43087,37.73036,-122.43088,Admiral Ave,Glen Park,2.45
37.73036,-122.43088,37.73031,-122.43091,Admiral Ave,Glen Park,2.45
37.73031,-122.43091,37.72988,-122.43023,Admiral Ave,Glen Park,2.43
37.72988,-122.43023,37.72977,-122.43035,Mission St,Glen Park,2.4
37.72977,-122.43035,37.7297,-122.43037,Mission St,Glen Park,2.4
37.7297,-122.43037,37.72923,-122.43084,Mission St,Glen Park,2.4
37.72923,-122.43084,37.72882,-122.43127,Mission St,Glen Park,2.38
37.72882,-122.43127,37.72877,-122.43133,Mission St,Glen Park,2.38
37.72877,-122.43133,37.7284,-122.4317,Mission St,Glen Park,0.63
37.7284,-122.4317,37.72827,-122.43182,Mission St,Glen Park,0.63
37.72827,-122.43182,37.72789,-122.43224,Mission St,Glen Park,0.62
37.72789,-122.43224,37.72765,-122.43243,Mission St,Glen Park,0.61
37.72765,-122.43243,37.72758,-122.4325,Mission St,Glen Park,0.58
37.72758,-122.4325,37.72752,-122.43257,Mission St,Glen Park,0.58
37.72752,-122.43257,37.72746,-122.43264,Mission St,Glen Park,0.58
37.72746,-122.43264,37.7274,-122.4327,Mission St,Glen Park,0.58
37.7274,-122.4327,37.72736,-122.43275,Mission St,Glen Park,0.58
37.72736,-122.43275,37.72733,-122.43278,Mission St,Glen Park,0.58
37.72733,-122.43278,37.72731,-122.43281,Mission St,Glen Park,0.58
37.72731,-122.43281,37.72728,-122.43283,Mission St,Glen Park,0.58
37.72728,-122.43283,37.72724,-122.43286,Mission St,Glen Park,0.58
37.72724,-122.43286,37.72717,-122.43292,Mission St,Glen Park,0.58
37.72717,-122.43292,37.72704,-122.43302,Mission St,Glen Park,0.58
37.72704,-122.43302,37.72692,-122.43311,Mission St,Glen Park,0.58
37.72692,-122.43311,37.72661,-122.43335,Mission St,Glen Park,0.58
37.72661,-122.43335,37.72652,-122.43342,Mission St,Glen Park,0.57
37.72652,-122.43342,37.72625,-122.43362,Mission St,Glen Park,0.57
37.72625,-122.43362,37.72577,-122.43399,Mission St,Glen Park,0.52
37.72577,-122.43399,37.72517,-122.43443,Mission St,Glen Park,0.51
37.72517,-122.43443,37.72469,-122.43479,Mission St,Glen Park,0.51
37.72469,-122.43479,37.7246,-122.43487,Mission St,Glen Park,0.41
37.7246,-122.43487,37.72426,-122.43512,Mission St,Glen Park,0.41
37.72426,-122.43512,37.724,-122.43532,Mission St,Glen Park,0.41
37.724,-122.43532,37.72392,-122.43542,Mission St,Glen Park,0.41
37.72392,-122.43542,37.72318,-122.43599,Mission St,Glen Park,0.41
37.72318,-122.43599,37.72275,-122.43521,Persia Ave,Glen Park,0.59
37.72275,-122.43521,37.72238,-122.43441,Persia Ave,Glen Park,0.58
